Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,87735,0,,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,68745,22620,2560000,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,45000,0,1320000,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,38745,35370,2400000,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,90000,0,2820000,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,81255,62940,5340000,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,34995,22740,1900000,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,45540,37560,3160000,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,60090,22890,3360000,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,192615,164520,6980000,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,48000,10500,1400000,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,37500,27600,2180000,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,46095,121590,4000000,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,27795,42600,2280000,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,19485,16290,340000,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,74250,0,2500000,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,53940,0,2000000,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,52650,0,1520000,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,73305,0,2660000,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,39000,52500,2300000,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,114900,0,2080000,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,89325,84375,6300000,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,39000,28665,2320000,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,50475,28755,2240000,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,55755,43875,3020000,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,143400,0,3820000,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,41985,33795,2440000,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,63390,15600,2200000,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,21630,0,700000,360,1,Urban,N
LP001087,Female,No,2,Graduate,,56250,31245,2400000,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,62490,50535,4020000,360,,Urban,N
LP001095,Male,No,0,Graduate,No,47505,0,1480000,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,70380,0,2120000,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,52500,25005,2280000,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,187500,45000,6400000,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,34125,31005,,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,27420,19950,2000000,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,55005,21885,2880000,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,62490,108150,3680000,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,56220,25020,2200000,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,54000,0,1600000,360,1,Urban,N
